Date,HYPE_close,SYRUP_close,META_close,PUMP_close
2024-12-31,23.8949534835,,,
2025-01-31,26.9048470175,,,
2025-02-28,20.0201897255,,,
2025-03-31,12.9833173651,,,
2025-04-30,19.9773514057,0.1551910697,,
2025-05-31,32.8288748915,0.3437510485,,
2025-06-03,36.1369723101,0.4152047747,,
2025-06-30,39.4004277999,0.5421598474,,
2025-07-31,40.8123405953,0.413703961,,0.0025119235723
2025-08-12,44.8909912064,0.4687881405,0.8220474958,0.00400905635953
2025-08-31,44.2947924076,0.4496325292,1.6560467543,0.00335760967125
2025-09-30,45.2394313403,0.3781934475,1.9840467654,0.00594194735421
2025-10-31,43.6086796098,0.4340195508,6.5956646933,0.00461407126243
2025-11-08,40.1220079086,0.4555558908,7.3412155956,0.00378273274095
2025-11-30,31.929024355,0.2737029868,6.8857291884,0.00295685759836
2025-12-31,25.4338337837,0.3213716283,7.1822165855,0.001913116064
